   time(s)     rx(cm)     ry(cm)   phi(rad)    rcx(cm)    rcy(cm)        eta          w
   0.03000   32.47409   38.18112    5.91352   33.26261    0.33263    0.20676   -0.51872
   0.06000   32.55008   38.10505    5.89796   33.25733    0.33257    0.20673   -0.51872
   0.09000   32.62495   38.02785    5.88240   33.25223    0.33252    0.20670   -0.51872
   0.12000   32.69870   37.94955    5.86684   33.24731    0.33247    0.20667   -0.51872
   0.15000   32.77129   37.87017    5.85128   33.24259    0.33243    0.20665   -0.51872
   0.18000   32.84272   37.78972    5.83572   33.23806    0.33238    0.20664   -0.51872
   0.21000   32.91295   37.70822    5.82016   33.23372    0.33234    0.20663   -0.51872
   0.24000   32.98197   37.62569    5.80459   33.22958    0.33230    0.20662   -0.51872
   0.27000   33.04976   37.54214    5.78903   33.22564    0.33226    0.20662   -0.51872
   0.30000   33.11630   37.45759    5.77347   33.22190    0.33222    0.20662   -0.51872
   0.33000   33.18158   37.37206    5.75791   33.21837    0.33218    0.20662   -0.51872
   0.36000   33.24557   37.28557    5.74235   33.21505    0.33215    0.20664   -0.51872
   0.39000   33.30826   37.19815    5.72679   33.21193    0.33212    0.20665   -0.51872
   0.42000   33.36962   37.10980    5.71122   33.20903    0.33209    0.20667   -0.51872
   0.45000   33.42965   37.02054    5.69566   33.20634    0.33206    0.20669   -0.51872
   0.48000   33.48833   36.93041    5.68010   33.20385    0.33204    0.20672   -0.51872
   0.51000   33.54563   36.83942    5.66454   33.20159    0.33202    0.20675   -0.51872
   0.54000   33.60154   36.74759    5.64898   33.19953    0.33200    0.20679   -0.51872
   0.57000   33.65605   36.65494    5.63342   33.19769    0.33198    0.20683   -0.51872
   0.60000   33.70913   36.56149    5.61785   33.19607    0.33196    0.20687   -0.51872
   0.63000   33.76078   36.46727    5.60229   33.19466    0.33195    0.20692   -0.51872
   0.66000   33.81098   36.37230    5.58673   33.19347    0.33193    0.20698   -0.51872
   0.69000   33.85971   36.27660    5.57117   33.19249    0.33192    0.20704   -0.51872
   0.72000   33.90696   36.18020    5.55561   33.19172    0.33192    0.20710   -0.51872
   0.75000   33.95271   36.08311    5.54005   33.19117    0.33191    0.20717   -0.51872
   0.78000   33.99696   35.98537    5.52448   33.19083    0.33191    0.20724   -0.51872
   0.81000   34.03968   35.88699    5.50892   33.19070    0.33191    0.20731   -0.51872
   0.84000   34.08087   35.78801    5.49336   33.19078    0.33191    0.20739   -0.51872
   0.87000   34.12051   35.68844    5.47780   33.19107    0.33191    0.20748   -0.51872
   0.90000   34.15859   35.58831    5.46224   33.19157    0.33192    0.20757   -0.51872
   0.93000   34.19510   35.48765    5.44668   33.19227    0.33192    0.20766   -0.51872
   0.96000   34.23002   35.38648    5.43112   33.19317    0.33193    0.20776   -0.51872
   0.99000   34.26335   35.28483    5.41555   33.19427    0.33194    0.20786   -0.51872
   1.02000   34.29508   35.18272    5.39999   33.19557    0.33196    0.20796   -0.51872
   1.05000   34.32520   35.08018    5.38443   33.19706    0.33197    0.20807   -0.51872
   1.08000   34.35369   34.97724    5.36887   33.19875    0.33199    0.20819   -0.51872
   1.11000   34.38054   34.87393    5.35331   33.20062    0.33201    0.20831   -0.51872
   1.14000   34.40576   34.77026    5.33775   33.20268    0.33203    0.20843   -0.51872
   1.17000   34.42933   34.66628    5.32218   33.20492    0.33205    0.20856   -0.51872
   1.20000   34.45124   34.56199    5.30662   33.20734    0.33207    0.20869   -0.51872
   1.23000   34.47149   34.45745    5.29106   33.20993    0.33210    0.20883   -0.51872
   1.26000   34.49006   34.35266    5.27550   33.21269    0.33213    0.20897   -0.51872
   1.29000   34.50696   34.24767    5.25994   33.21562    0.33216    0.20911   -0.51872
   1.32000   34.52218   34.14249    5.24438   33.21871    0.33219    0.20926   -0.51872
   1.35000   34.53571   34.03716    5.22881   33.22196    0.33222    0.20941   -0.51872
   1.38000   34.54755   33.93170    5.21325   33.22536    0.33225    0.20957   -0.51872
   1.41000   34.55769   33.82615    5.19769   33.22890    0.33229    0.20973   -0.51872
   1.44000   34.56614   33.72053    5.18213   33.23259    0.33233    0.20989   -0.51872
   1.47000   34.57288   33.61488    5.16657   33.23642    0.33236    0.21006   -0.51872
   1.50000   34.57791   33.50921    5.15101   33.24038    0.33240    0.21023   -0.51872
   1.53000   34.58124   33.40357    5.13544   33.24446    0.33244    0.21041   -0.51872
   1.56000   34.58286   33.29797    5.11988   33.24867    0.33249    0.21059   -0.51872
   1.59000   34.58278   33.19245    5.10432   33.25299    0.33253    0.21077   -0.51872
   1.62000   34.58098   33.08705    5.08876   33.25743    0.33257    0.21096   -0.51872
   1.65000   34.57747   32.98177    5.07320   33.26197    0.33262    0.21115   -0.51872
   1.68000   34.57226   32.87667    5.05764   33.26660    0.33267    0.21135   -0.51872
   1.71000   34.56534   32.77176    5.04207   33.27133    0.33271    0.21155   -0.51872
   1.74000   34.55671   32.66709    5.02651   33.27615    0.33276    0.21175   -0.51872
   1.77000   34.54638   32.56266    5.01095   33.28105    0.33281    0.21196   -0.51872
   1.80000   34.53435   32.45852    4.99539   33.28602    0.33286    0.21217   -0.51872
   1.83000   34.52063   32.35470    4.97983   33.29106    0.33291    0.21238   -0.51872
   1.86000   34.50521   32.25122    4.96427   33.29616    0.33296    0.21260   -0.51872
   1.89000   34.48811   32.14812    4.94871   33.30131    0.33301    0.21282   -0.51872
   1.92000   34.46933   32.04542    4.93314   33.30652    0.33307    0.21304   -0.51872
   1.95000   34.44886   31.94315    4.91758   33.31176    0.33312    0.21327   -0.51872
   1.98000   34.42673   31.84135    4.90202   33.31704    0.33317    0.21350   -0.51872
   2.01000   34.40294   31.74004    4.88646   33.32235    0.33322    0.21373   -0.51872
   2.04000   34.37749   31.63925    4.87090   33.32768    0.33328    0.21397   -0.51872
   2.07000   34.35039   31.53901    4.85534   33.33303    0.33333    0.21421   -0.51872
   2.10000   34.32166   31.43934    4.83977   33.33839    0.33338    0.21445   -0.51872
   2.13000   34.29129   31.34029    4.82421   33.34374    0.33344    0.21469   -0.51872
   2.16000   34.25931   31.24187    4.80865   33.34910    0.33349    0.21494   -0.51872
   2.19000   34.22571   31.14412    4.79309   33.35444    0.33354    0.21519   -0.51872
   2.22000   34.19052   31.04706    4.77753   33.35976    0.33360    0.21545   -0.51872
   2.25000   34.15374   30.95072    4.76197   33.36506    0.33365    0.21570   -0.51872
