   time(s)     rx(cm)     ry(cm)   phi(rad)    rcx(cm)    rcy(cm)        eta          w
   0.03000   32.47196   38.18654    5.91754   31.68974    0.31690    0.16045   -0.38244
   0.06000   32.54608   38.11638    5.90614   31.60999    0.31610    0.15873   -0.37769
   0.09000   32.61940   38.04562    5.89488   31.52972    0.31530    0.15701   -0.37297
   0.12000   32.69190   37.97428    5.88376   31.44895    0.31449    0.15530   -0.36830
   0.15000   32.76360   37.90236    5.87278   31.36770    0.31368    0.15361   -0.36366
   0.18000   32.83449   37.82988    5.86194   31.28600    0.31286    0.15192   -0.35907
   0.21000   32.90458   37.75687    5.85124   31.20386    0.31204    0.15025   -0.35452
   0.24000   32.97388   37.68334    5.84067   31.12132    0.31121    0.14858   -0.35001
   0.27000   33.04239   37.60930    5.83023   31.03839    0.31038    0.14693   -0.34555
   0.30000   33.11011   37.53477    5.81993   30.95511    0.30955    0.14530   -0.34113
   0.33000   33.17706   37.45976    5.80977   30.87150    0.30872    0.14367   -0.33677
   0.36000   33.24324   37.38429    5.79973   30.78760    0.30788    0.14206   -0.33245
   0.39000   33.30865   37.30837    5.78982   30.70343    0.30703    0.14047   -0.32818
   0.42000   33.37330   37.23201    5.78004   30.61904    0.30619    0.13889   -0.32396
   0.45000   33.43719   37.15524    5.77038   30.53445    0.30534    0.13732   -0.31979
   0.48000   33.50033   37.07805    5.76085   30.44970    0.30450    0.13577   -0.31567
   0.51000   33.56273   37.00047    5.75144   30.36485    0.30365    0.13424   -0.31161
   0.54000   33.62440   36.92250    5.74215   30.27991    0.30280    0.13273   -0.30761
   0.57000   33.68534   36.84416    5.73298   30.19495    0.30195    0.13123   -0.30366
   0.60000   33.74555   36.76546    5.72393   30.11001    0.30110    0.12975   -0.29977
   0.63000   33.80504   36.68640    5.71499   30.02513    0.30025    0.12829   -0.29594
   0.66000   33.86383   36.60701    5.70617   29.94037    0.29940    0.12685   -0.29216
   0.69000   33.92191   36.52728    5.69746   29.85577    0.29856    0.12542   -0.28845
   0.72000   33.97930   36.44724    5.68887   29.77141    0.29771    0.12402   -0.28480
   0.75000   34.03599   36.36688    5.68038   29.68732    0.29687    0.12264   -0.28121
   0.78000   34.09200   36.28622    5.67199   29.60358    0.29604    0.12128   -0.27768
   0.81000   34.14733   36.20527    5.66371   29.52025    0.29520    0.11994   -0.27422
   0.84000   34.20200   36.12403    5.65554   29.43739    0.29437    0.11863   -0.27083
   0.87000   34.25599   36.04251    5.64746   29.35506    0.29355    0.11733   -0.26750
   0.90000   34.30933   35.96073    5.63949   29.27334    0.29273    0.11606   -0.26423
   0.93000   34.36202   35.87868    5.63161   29.19231    0.29192    0.11482   -0.26104
   0.96000   34.41406   35.79638    5.62382   29.11202    0.29112    0.11359   -0.25791
   0.99000   34.46546   35.71383    5.61613   29.03257    0.29033    0.11240   -0.25486
   1.02000   34.51623   35.63104    5.60853   28.95402    0.28954    0.11122   -0.25187
   1.05000   34.56637   35.54802    5.60102   28.87646    0.28876    0.11008   -0.24896
   1.08000   34.61588   35.46476    5.59359   28.79997    0.28800    0.10896   -0.24611
   1.11000   34.66478   35.38128    5.58625   28.72463    0.28725    0.10786   -0.24334
   1.14000   34.71308   35.29759    5.57899   28.65053    0.28651    0.10680   -0.24064
   1.17000   34.76076   35.21368    5.57181   28.57775    0.28578    0.10576   -0.23802
   1.20000   34.80785   35.12956    5.56471   28.50637    0.28506    0.10475   -0.23547
   1.23000   34.85434   35.04523    5.55768   28.43649    0.28436    0.10377   -0.23300
   1.26000   34.90024   34.96071    5.55073   28.36818    0.28368    0.10281   -0.23061
   1.29000   34.94556   34.87599    5.54384   28.30155    0.28302    0.10189   -0.22829
   1.32000   34.99029   34.79108    5.53703   28.23666    0.28237    0.10099   -0.22605
   1.35000   35.03446   34.70598    5.53028   28.17361    0.28174    0.10013   -0.22388
   1.38000   35.07805   34.62070    5.52359   28.11249    0.28112    0.09930   -0.22180
   1.41000   35.12107   34.53523    5.51697   28.05336    0.28053    0.09849   -0.21979
   1.44000   35.16353   34.44959    5.51041   27.99632    0.27996    0.09772   -0.21787
   1.47000   35.20543   34.36376    5.50390   27.94145    0.27941    0.09698   -0.21602
   1.50000   35.24677   34.27777    5.49744   27.88881    0.27889    0.09628   -0.21426
   1.53000   35.28756   34.19160    5.49104   27.83847    0.27838    0.09560   -0.21257
   1.56000   35.32780   34.10526    5.48469   27.79051    0.27791    0.09496   -0.21097
   1.59000   35.36749   34.01876    5.47838   27.74499    0.27745    0.09435   -0.20945
   1.62000   35.40664   33.93209    5.47212   27.70196    0.27702    0.09378   -0.20801
   1.65000   35.44525   33.84525    5.46590   27.66149    0.27661    0.09323   -0.20666
   1.68000   35.48332   33.75826    5.45972   27.62360    0.27624    0.09273   -0.20539
   1.71000   35.52085   33.67110    5.45358   27.58836    0.27588    0.09225   -0.20420
   1.74000   35.55785   33.58377    5.44747   27.55579    0.27556    0.09181   -0.20310
   1.77000   35.59431   33.49629    5.44139   27.52592    0.27526    0.09141   -0.20208
   1.80000   35.63024   33.40865    5.43534   27.49876    0.27499    0.09104   -0.20114
   1.83000   35.66563   33.32086    5.42932   27.47435    0.27474    0.09070   -0.20029
   1.86000   35.70050   33.23290    5.42332   27.45267    0.27453    0.09040   -0.19953
   1.89000   35.73483   33.14479    5.41735   27.43372    0.27434    0.09014   -0.19885
   1.92000   35.76863   33.05652    5.41139   27.41751    0.27418    0.08991   -0.19825
   1.95000   35.80191   32.96809    5.40545   27.40400    0.27404    0.08972   -0.19774
   1.98000   35.83465   32.87951    5.39952   27.39317    0.27393    0.08956   -0.19732
   2.01000   35.86686   32.79077    5.39361   27.38498    0.27385    0.08944   -0.19698
   2.04000   35.89854   32.70188    5.38770   27.37940    0.27379    0.08936   -0.19673
   2.07000   35.92968   32.61282    5.38180   27.37637    0.27376    0.08931   -0.19656
   2.10000   35.96030   32.52362    5.37591   27.37583    0.27376    0.08930   -0.19648
   2.13000   35.99037   32.43425    5.37001   27.37772    0.27378    0.08932   -0.19649
   2.16000   36.01991   32.34473    5.36412   27.38196    0.27382    0.08938   -0.19658
   2.19000   36.04891   32.25505    5.35822   27.38848    0.27388    0.08948   -0.19676
   2.22000   36.07736   32.16521    5.35231   27.39718    0.27397    0.08961   -0.19702
   2.25000   36.10527   32.07521    5.34639   27.40797    0.27408    0.08978   -0.19737
   2.28000   36.13263   31.98506    5.34047   27.42076    0.27421    0.08999   -0.19781
   2.31000   36.15944   31.89475    5.33452   27.43545    0.27435    0.09023   -0.19833
