   time(s)     rx(cm)     ry(cm)   phi(rad)    rcx(cm)    rcy(cm)        eta          w
   0.03000   32.47011   38.19118    5.92099   29.01262    0.29013    0.11612   -0.26426
   0.06000   32.54255   38.12618    5.91322   28.64749    0.28647    0.11191   -0.25364
   0.09000   32.61437   38.06106    5.90576   28.27669    0.28277    0.10792   -0.24363
   0.12000   32.68559   37.99583    5.89859   27.90204    0.27902    0.10414   -0.23425
   0.15000   32.75625   37.93049    5.89170   27.52560    0.27526    0.10058   -0.22547
   0.18000   32.82636   37.86503    5.88506   27.14964    0.27150    0.09724   -0.21729
   0.21000   32.89596   37.79946    5.87865   26.77665    0.26777    0.09413   -0.20970
   0.24000   32.96506   37.73376    5.87247   26.40926    0.26409    0.09124   -0.20270
   0.27000   33.03370   37.66794    5.86648   26.05019    0.26050    0.08856   -0.19626
   0.30000   33.10188   37.60199    5.86068   25.70219    0.25702    0.08611   -0.19038
   0.33000   33.16963   37.53589    5.85505   25.36795    0.25368    0.08386   -0.18502
   0.36000   33.23697   37.46964    5.84957   25.05003    0.25050    0.08183   -0.18019
   0.39000   33.30391   37.40323    5.84423   24.75078    0.24751    0.07999   -0.17584
   0.42000   33.37047   37.33665    5.83902   24.47224    0.24472    0.07835   -0.17197
   0.45000   33.43665   37.26990    5.83391   24.21610    0.24216    0.07689   -0.16854
   0.48000   33.50248   37.20296    5.82890   23.98363    0.23984    0.07561   -0.16554
   0.51000   33.56796   37.13582    5.82397   23.77565    0.23776    0.07450   -0.16294
   0.54000   33.63309   37.06848    5.81911   23.59250    0.23592    0.07355   -0.16071
   0.57000   33.69790   37.00093    5.81432   23.43407    0.23434    0.07274   -0.15883
   0.60000   33.76238   36.93315    5.80958   23.29981    0.23300    0.07207   -0.15727
   0.63000   33.82655   36.86514    5.80488   23.18876    0.23189    0.07152   -0.15600
   0.66000   33.89040   36.79690    5.80022   23.09962    0.23100    0.07110   -0.15501
   0.69000   33.95394   36.72840    5.79558   23.03081    0.23031    0.07077   -0.15425
   0.72000   34.01717   36.65966    5.79096   22.98052    0.22981    0.07054   -0.15371
   0.75000   34.08010   36.59065    5.78635   22.94681    0.22947    0.07039   -0.15337
   0.78000   34.14272   36.52139    5.78175   22.92764    0.22928    0.07031   -0.15319
   0.81000   34.20505   36.45185    5.77716   22.92096    0.22921    0.07029   -0.15316
   0.84000   34.26706   36.38204    5.77256   22.92474    0.22925    0.07033   -0.15324
   0.87000   34.32878   36.31195    5.76796   22.93703    0.22937    0.07041   -0.15343
   0.90000   34.39019   36.24159    5.76336   22.95598    0.22956    0.07052   -0.15370
   0.93000   34.45129   36.17094    5.75874   22.97989    0.22980    0.07067   -0.15402
   0.96000   34.51209   36.10001    5.75411   23.00720    0.23007    0.07082   -0.15439
   0.99000   34.57258   36.02880    5.74948   23.03652    0.23037    0.07099   -0.15479
   1.02000   34.63275   35.95730    5.74483   23.06664    0.23067    0.07117   -0.15520
   1.05000   34.69261   35.88552    5.74016   23.09653    0.23097    0.07135   -0.15561
   1.08000   34.75216   35.81346    5.73549   23.12530    0.23125    0.07152   -0.15601
   1.11000   34.81138   35.74111    5.73080   23.15227    0.23152    0.07169   -0.15639
   1.14000   34.87028   35.66849    5.72611   23.17690    0.23177    0.07184   -0.15675
   1.17000   34.92886   35.59559    5.72140   23.19880    0.23199    0.07198   -0.15707
   1.20000   34.98711   35.52242    5.71668   23.21774    0.23218    0.07210   -0.15735
   1.23000   35.04503   35.44897    5.71196   23.23364    0.23234    0.07221   -0.15760
   1.26000   35.10262   35.37525    5.70723   23.24652    0.23247    0.07230   -0.15781
   1.29000   35.15987   35.30127    5.70249   23.25655    0.23257    0.07237   -0.15798
   1.32000   35.21678   35.22702    5.69775   23.26401    0.23264    0.07243   -0.15811
   1.35000   35.27336   35.15252    5.69300   23.26929    0.23269    0.07248   -0.15822
   1.38000   35.32959   35.07775    5.68826   23.27289    0.23273    0.07252   -0.15830
   1.41000   35.38548   35.00273    5.68351   23.27539    0.23275    0.07255   -0.15837
   1.44000   35.44103   34.92745    5.67875   23.27746    0.23277    0.07258   -0.15843
   1.47000   35.49622   34.85192    5.67400   23.27987    0.23280    0.07261   -0.15850
   1.50000   35.55107   34.77614    5.66924   23.28343    0.23283    0.07265   -0.15858
   1.53000   35.60557   34.70010    5.66449   23.28902    0.23289    0.07270   -0.15869
   1.56000   35.65972   34.62382    5.65972   23.29756    0.23298    0.07277   -0.15884
   1.59000   35.71352   34.54728    5.65495   23.31000    0.23310    0.07286   -0.15905
   1.62000   35.76696   34.47049    5.65018   23.32731    0.23327    0.07299   -0.15933
   1.65000   35.82004   34.39344    5.64539   23.35043    0.23350    0.07315   -0.15970
   1.68000   35.87277   34.31613    5.64060   23.38029    0.23380    0.07335   -0.16016
   1.71000   35.92513   34.23857    5.63578   23.41777    0.23418    0.07361   -0.16075
   1.74000   35.97714   34.16073    5.63095   23.46367    0.23464    0.07392   -0.16148
   1.77000   36.02877   34.08263    5.62609   23.51869    0.23519    0.07430   -0.16235
   1.80000   36.08004   34.00424    5.62120   23.58342    0.23583    0.07475   -0.16340
   1.83000   36.13094   33.92557    5.61628   23.65832    0.23658    0.07528   -0.16463
   1.86000   36.18145   33.84660    5.61132   23.74369    0.23744    0.07590   -0.16606
   1.89000   36.23159   33.76734    5.60632   23.83964    0.23840    0.07661   -0.16770
   1.92000   36.28135   33.68775    5.60126   23.94613    0.23946    0.07741   -0.16957
   1.95000   36.33071   33.60785    5.59614   24.06294    0.24063    0.07831   -0.17169
   1.98000   36.37967   33.52761    5.59095   24.18965    0.24190    0.07933   -0.17406
   2.01000   36.42822   33.44702    5.58569   24.32569    0.24326    0.08045   -0.17669
   2.04000   36.47636   33.36607    5.58035   24.47031    0.24470    0.08169   -0.17961
   2.07000   36.52408   33.28475    5.57491   24.62266    0.24623    0.08304   -0.18280
   2.10000   36.57137   33.20303    5.56937   24.78173    0.24782    0.08451   -0.18629
   2.13000   36.61820   33.12092    5.56373   24.94647    0.24946    0.08611   -0.19008
   2.16000   36.66459   33.03838    5.55797   25.11572    0.25116    0.08783   -0.19417
   2.19000   36.71050   32.95541    5.55207   25.28833    0.25288    0.08967   -0.19856
   2.22000   36.75592   32.87199    5.54605   25.46310    0.25463    0.09163   -0.20327
   2.25000   36.80085   32.78810    5.53987   25.63890    0.25639    0.09371   -0.20828
   2.28000   36.84526   32.70373    5.53355   25.81460    0.25815    0.09591   -0.21359
   2.31000   36.88913   32.61886    5.52705   25.98916    0.25989    0.09823   -0.21921
   2.34000   36.93244   32.53348    5.52039   26.16159    0.26162    0.10066   -0.22512
   2.37000   36.97518   32.44756    5.51354   26.33102    0.26331    0.10319   -0.23131
   2.40000   37.01732   32.36110    5.50651   26.49665    0.26497    0.10583   -0.23779
   2.43000   37.05884   32.27407    5.49927   26.65781    0.26658    0.10856   -0.24454
