   time(s)     rx(cm)     ry(cm)   phi(rad)    rcx(cm)    rcy(cm)        eta          w
   0.03000   32.47038   38.19051    5.92049   30.13503    0.30135    0.13139   -0.30373
   0.06000   32.54380   38.12288    5.91080   30.96737    0.30967    0.14577   -0.34210
   0.09000   32.61722   38.05298    5.89994   31.65293    0.31653    0.16034   -0.38223
   0.12000   32.69052   37.98070    5.88788   32.19018    0.32190    0.17412   -0.42137
   0.15000   32.76353   37.90607    5.87471   32.58987    0.32590    0.18617   -0.45659
   0.18000   32.83605   37.82921    5.86059   32.86577    0.32866    0.19566   -0.48503
   0.21000   32.90787   37.75040    5.84575   33.02980    0.33030    0.20191   -0.50412
   0.24000   32.97873   37.67002    5.83051   33.08969    0.33090    0.20443   -0.51191
   0.27000   33.04845   37.58856    5.81522   33.04777    0.33048    0.20291   -0.50726
   0.30000   33.11686   37.50654    5.80026   32.90013    0.32900    0.19728   -0.49007
   0.33000   33.18386   37.42453    5.78599   32.63572    0.32636    0.18769   -0.46129
   0.36000   33.24939   37.34303    5.77273   32.23529    0.32235    0.17459   -0.42297
   0.39000   33.31350   37.26247    5.76071   31.67086    0.31671    0.15871   -0.37800
   0.42000   33.37625   37.18317    5.75010   30.90732    0.30907    0.14112   -0.32991
   0.45000   33.43779   37.10527    5.74091   29.91074    0.29911    0.12309   -0.28247
   0.48000   33.49826   37.02877    5.73308   28.67142    0.28671    0.10606   -0.23926
   0.51000   33.55784   36.95351    5.72645   27.25070    0.27251    0.09143   -0.20331
   0.54000   33.61670   36.87921    5.72074   25.83932    0.25839    0.08035   -0.17675
   0.57000   33.67499   36.80551    5.71568   24.75682    0.24757    0.07348   -0.16058
   0.60000   33.73284   36.73200    5.71096   24.29935    0.24299    0.07092   -0.15459
   0.63000   33.79035   36.65830    5.70628   24.51879    0.24519    0.07216   -0.15747
   0.66000   33.84756   36.58408    5.70141   25.19505    0.25195    0.07625   -0.16705
   0.69000   33.90450   36.50910    5.69619   26.02634    0.26026    0.08200   -0.18063
   0.72000   33.96116   36.43322    5.69055   26.79432    0.26794    0.08818   -0.19540
   0.75000   34.01749   36.35644    5.68449   27.39465    0.27395    0.09374   -0.20886
   0.78000   34.07343   36.27882    5.67807   27.79939    0.27799    0.09795   -0.21912
   0.81000   34.12894   36.20050    5.67140   28.01809    0.28018    0.10042   -0.22518
   0.84000   34.18397   36.12167    5.66462   28.07644    0.28076    0.10113   -0.22691
   0.87000   34.23847   36.04249    5.65784   28.00842    0.28008    0.10037   -0.22501
   0.90000   34.29243   35.96310    5.65116   27.85524    0.27855    0.09863   -0.22073
   0.93000   34.34585   35.88356    5.64461   27.66469    0.27665    0.09654   -0.21558
   0.96000   34.39874   35.80391    5.63822   27.48631    0.27486    0.09464   -0.21092
   0.99000   34.45112   35.72411    5.63194   27.36052    0.27361    0.09334   -0.20774
   1.02000   34.50300   35.64410    5.62572   27.30552    0.27306    0.09279   -0.20640
   1.05000   34.55438   35.56380    5.61953   27.31041    0.27310    0.09287   -0.20656
   1.08000   34.60528   35.48319    5.61332   27.33969    0.27340    0.09320   -0.20735
   1.11000   34.65569   35.40226    5.60710   27.34609    0.27346    0.09329   -0.20755
   1.14000   34.70561   35.32106    5.60089   27.28352    0.27284    0.09264   -0.20596
   1.17000   34.75502   35.23969    5.59478   27.11560    0.27116    0.09089   -0.20169
   1.20000   34.80392   35.15830    5.58884   26.82104    0.26821    0.08793   -0.19453
   1.23000   34.85233   35.07698    5.58314   26.40112    0.26401    0.08398   -0.18508
   1.26000   34.90027   34.99584    5.57775   25.89374    0.25894    0.07963   -0.17472
   1.29000   34.94777   34.91488    5.57264   25.39249    0.25392    0.07571   -0.16550
   1.32000   34.99484   34.83402    5.56776   25.05140    0.25051    0.07325   -0.15972
   1.35000   35.04153   34.75308    5.56297   25.03922    0.25039    0.07318   -0.15953
